#station;day;hour;temp;hum;press

# ===== DAY 1 =====

MeteoStation1;1;00;7.9;69;1011.6
MeteoStation1;1;01;7.1;73;1012.5
MeteoStation1;1;02;7.2;71;1012.4
MeteoStation1;1;03;6.1;69;1013.8
MeteoStation1;1;04;6.4;74;1014.6
MeteoStation1;1;05;7.2;75;1015.6
MeteoStation1;1;06;7.5;69;1015.7
MeteoStation1;1;07;9.0;69;1016.1
MeteoStation1;1;08;10.3;66;1016.3
MeteoStation1;1;09;12.1;61;1015.9
MeteoStation1;1;10;13.1;61;1013.8
MeteoStation1;1;11;15.0;56;1013.6
MeteoStation1;1;12;16.6;56;1011.5
MeteoStation1;1;13;16.9;53;1013.2
MeteoStation1;1;14;16.6;52;1012.4
MeteoStation1;1;15;17.8;52;1010.3
MeteoStation1;1;16;17.8;52;1011.8
MeteoStation1;1;17;16.8;51;1009.9
MeteoStation1;1;18;16.4;57;1010.1
MeteoStation1;1;19;15.0;56;1010.1
MeteoStation1;1;20;13.8;60;1010.1
MeteoStation1;1;21;12.7;66;1010.8
MeteoStation1;1;22;9.5;68;1011.1
MeteoStation1;1;23;9.4;69;1009.9
MeteoStation2;1;00;8.4;76;1011.5
MeteoStation2;1;01;7.8;77;1013.8
MeteoStation2;1;02;7.8;79;1013.5
MeteoStation2;1;03;6.7;77;1016.4
MeteoStation2;1;04;7.7;77;1014.0
MeteoStation2;1;05;7.2;77;1016.8
MeteoStation2;1;06;9.5;75;1015.5
MeteoStation2;1;07;10.0;70;1015.2
MeteoStation2;1;08;10.6;73;1015.7
MeteoStation2;1;09;12.1;68;1016.5
MeteoStation2;1;10;13.7;66;1016.6
MeteoStation2;1;11;15.6;60;1014.6
MeteoStation2;1;12;16.5;58;1014.3
MeteoStation2;1;13;17.0;60;1013.4
MeteoStation2;1;14;17.7;55;1013.4
MeteoStation2;1;15;18.2;55;1011.7
MeteoStation2;1;16;18.5;60;1010.8
MeteoStation2;1;17;17.3;58;1011.1
MeteoStation2;1;18;15.9;59;1011.9
MeteoStation2;1;19;15.3;60;1009.3
MeteoStation2;1;20;13.2;64;1009.8
