#station;day;hour;pm25;pm10;o3

# ===== DAY 1 =====

PollutionStation1;1;00;12;27;22
PollutionStation1;1;01;11;24;24
PollutionStation1;1;02;12;28;27
PollutionStation1;1;03;13;30;23
PollutionStation1;1;04;17;36;33
PollutionStation1;1;05;17;41;20
PollutionStation1;1;06;23;52;29
PollutionStation1;1;07;22;51;34
PollutionStation1;1;08;24;53;38
PollutionStation1;1;09;28;58;53
PollutionStation1;1;10;22;47;64
PollutionStation1;1;11;16;40;83
PollutionStation1;1;12;12;29;97
PollutionStation1;1;13;13;27;96
PollutionStation1;1;14;11;26;110
PollutionStation1;1;15;15;35;101
PollutionStation1;1;16;17;34;93
PollutionStation1;1;17;19;43;81
PollutionStation1;1;18;25;53;62
PollutionStation1;1;19;26;55;53
PollutionStation1;1;20;25;55;37
PollutionStation1;1;21;22;47;35
PollutionStation1;1;22;15;35;28
PollutionStation1;1;23;12;25;27
PollutionStation2;1;00;13;26;20
PollutionStation2;1;01;12;24;21
PollutionStation2;1;02;13;25;25
PollutionStation2;1;03;12;21;20
PollutionStation2;1;04;15;29;32
PollutionStation2;1;05;18;38;25
PollutionStation2;1;06;24;49;25
PollutionStation2;1;07;30;61;28
PollutionStation2;1;08;31;64;30
PollutionStation2;1;09;28;59;44
PollutionStation2;1;10;25;51;55
PollutionStation2;1;11;23;50;74
PollutionStation2;1;12;15;33;79
PollutionStation2;1;13;12;27;89
PollutionStation2;1;14;17;32;96
PollutionStation2;1;15;14;31;95
PollutionStation2;1;16;20;44;77
PollutionStation2;1;17;22;45;78
PollutionStation2;1;18;27;56;58
PollutionStation2;1;19;26;54;46
PollutionStation2;1;20;31;62;33
PollutionStation2;1;21;21;48;29
PollutionStation2;1;22;19;40;23
PollutionStation2;1;23;14;31;30
PollutionStation3;1;00;12;30;30
PollutionStation3;1;01;11;27;26
PollutionStation3;1;02;13;29;21
PollutionStation3;1;03;14;31;27
PollutionStation3;1;04;15;32;26
PollutionStation3;1;05;22;43;24
PollutionStation3;1;06;22;47;26
PollutionStation3;1;07;25;57;28
PollutionStation3;1;08;27;57;38
PollutionStation3;1;09;27;59;51
PollutionStation3;1;10;22;47;61
PollutionStation3;1;11;17;35;77
PollutionStation3;1;12;13;34;86
PollutionStation3;1;13;13;29;97
PollutionStation3;1;14;11;23;110
PollutionStation3;1;15;14;34;94
PollutionStation3;1;16;16;37;82
PollutionStation3;1;17;21;44;70
PollutionStation3;1;18;23;51;60
PollutionStation3;1;19;24;53;49
PollutionStation3;1;20;25;56;35
PollutionStation3;1;21;22;47;31
PollutionStation3;1;22;18;40;22
PollutionStation3;1;23;15;30;32
PollutionStation4;1;00;9;27;28
PollutionStation4;1;01;12;28;26
PollutionStation4;1;02;10;24;23
PollutionStation4;1;03;13;26;24
PollutionStation4;1;04;15;36;27
PollutionStation4;1;05;20;48;20
PollutionStation4;1;06;22;44;33
PollutionStation4;1;07;27;56;28
PollutionStation4;1;08;29;64;34
PollutionStation4;1;09;28;58;50
PollutionStation4;1;10;26;54;56
PollutionStation4;1;11;16;38;76
PollutionStation4;1;12;13;32;82
PollutionStation4;1;13;12;29;97
PollutionStation4;1;14;13;30;103
PollutionStation4;1;15;16;35;97
PollutionStation4;1;16;20;44;86
PollutionStation4;1;17;22;44;70
PollutionStation4;1;18;22;53;55
PollutionStation4;1;19;26;54;47
PollutionStation4;1;20;25;47;38
PollutionStation4;1;21;18;40;31
PollutionStation4;1;22;17;40;30
PollutionStation4;1;23;15;35;22
PollutionStation5;1;00;11;24;28
PollutionStation5;1;01;12;24;27
PollutionStation5;1;02;12;25;22
PollutionStation5;1;03;12;27;26
PollutionStation5;1;04;15;35;25
PollutionStation5;1;05;20;44;35
PollutionStation5;1;06;25;53;26
PollutionStation5;1;07;29;61;35
PollutionStation5;1;08;30;60;37
PollutionStation5;1;09;30;63;53
PollutionStation5;1;10;25;53;64
PollutionStation5;1;11;16;34;79
PollutionStation5;1;12;16;36;95
PollutionStation5;1;13;12;23;108
PollutionStation5;1;14;11;25;110
PollutionStation5;1;15;16;36;112
PollutionStation5;1;16;22;45;92
PollutionStation5;1;17;27;54;84
PollutionStation5;1;18;25;51;67
PollutionStation5;1;19;30;68;53
PollutionStation5;1;20;26;50;49
PollutionStation5;1;21;20;44;36
PollutionStation5;1;22;21;42;29
PollutionStation5;1;23;16;33;22
PollutionStation6;1;00;11;22;22
PollutionStation6;1;01;15;29;24
PollutionStation6;1;02;14;27;25
PollutionStation6;1;03;14;36;24
PollutionStation6;1;04;17;29;24
PollutionStation6;1;05;21;43;35
PollutionStation6;1;06;27;54;24
PollutionStation6;1;07;30;59;29
PollutionStation6;1;08;32;67;37
PollutionStation6;1;09;28;57;42
PollutionStation6;1;10;24;52;59
PollutionStation6;1;11;20;38;62
PollutionStation6;1;12;16;33;80
PollutionStation6;1;13;18;35;99
PollutionStation6;1;14;15;33;95
PollutionStation6;1;15;18;39;91
PollutionStation6;1;16;18;37;86
PollutionStation6;1;17;24;49;74
PollutionStation6;1;18;28;54;55
PollutionStation6;1;19;33;64;47
PollutionStation6;1;20;29;59;36
PollutionStation6;1;21;24;53;31
PollutionStation6;1;22;21;47;32
PollutionStation6;1;23;14;34;22
PollutionStation7;1;00;12;24;18
PollutionStation7;1;01;15;32;20
PollutionStation7;1;02;15;31;23
PollutionStation7;1;03;14;28;22
PollutionStation7;1;04;15;31;21
PollutionStation7;1;05;19;39;27
PollutionStation7;1;06;27;54;14
