#station;day;hour;temp;hum;press

# ===== DAY 1 =====

MeteoStation1;1;00;9.0;80;1012.0
MeteoStation1;1;01;8.0;81;1013.2
MeteoStation1;1;02;7.5;78;1013.8
MeteoStation1;1;03;7.6;79;1015.2
MeteoStation1;1;04;7.7;81;1015.6
MeteoStation1;1;05;7.6;82;1015.2
MeteoStation1;1;06;8.0;70;1016.4
MeteoStation1;1;07;9.9;75;1015.6
MeteoStation1;1;08;11.8;66;1015.7
MeteoStation1;1;09;13.0;68;1016.8
MeteoStation1;1;10;13.9;66;1013.7
MeteoStation1;1;11;15.7;59;1014.8
MeteoStation1;1;12;16.5;59;1012.4
MeteoStation1;1;13;17.1;55;1012.9
MeteoStation1;1;14;17.9;58;1012.1
MeteoStation1;1;15;17.9;58;1011.7
MeteoStation1;1;16;17.9;57;1010.3
MeteoStation1;1;17;17.2;54;1010.9
MeteoStation1;1;18;16.3;56;1007.7
MeteoStation1;1;19;15.5;57;1009.6
MeteoStation1;1;20;14.1;68;1009.9
MeteoStation1;1;21;12.6;67;1010.1
MeteoStation1;1;22;10.9;71;1010.4
MeteoStation1;1;23;10.9;75;1011.2
MeteoStation2;1;00;9.9;77;1012.8
MeteoStation2;1;01;9.1;79;1012.9
MeteoStation2;1;02;9.9;77;1013.4
MeteoStation2;1;03;8.2;80;1014.6
MeteoStation2;1;04;8.8;80;1014.6
MeteoStation2;1;05;9.6;72;1015.7
MeteoStation2;1;06;10.2;76;1015.6
MeteoStation2;1;07;10.7;73;1016.9
MeteoStation2;1;08;12.5;66;1014.6
MeteoStation2;1;09;14.1;71;1016.1
MeteoStation2;1;10;15.7;66;1015.4
MeteoStation2;1;11;17.0;65;1014.6
MeteoStation2;1;12;18.1;58;1014.3
MeteoStation2;1;13;18.8;56;1014.4
MeteoStation2;1;14;19.4;59;1013.4
MeteoStation2;1;15;18.9;56;1012.3
MeteoStation2;1;16;19.9;53;1011.2
MeteoStation2;1;17;18.9;53;1011.2
MeteoStation2;1;18;18.1;61;1009.6
MeteoStation2;1;19;17.4;64;1010.1
MeteoStation2;1;20;15.3;60;1010.3
MeteoStation2;1;21;14.8;65;1011.2
MeteoStation2;1;22;13.0;73;1011.0
MeteoStation2;1;23;12.4;74;1011.0
MeteoStation3;1;00;8.8;77;1013.1
MeteoStation3;1;01;8.1;75;1014.3
MeteoStation3;1;02;7.0;74;1013.9
MeteoStation3;1;03;7.2;74;1015.2
MeteoStation3;1;04;7.2;73;1015.9
MeteoStation3;1;05;8.9;79;1016.8
MeteoStation3;1;06;9.3;72;1016.6
MeteoStation3;1;07;10.0;69;1016.0
MeteoStation3;1;08;12.1;73;1017.1
MeteoStation3;1;09;13.1;70;1017.2
MeteoStation3;1;10;14.4;59;1016.6
MeteoStation3;1;11;14.9;58;1015.1
MeteoStation3;1;12;15.9;55;1015.1
MeteoStation3;1;13;18.0;54;1014.6
MeteoStation3;1;14;18.2;51;1014.3
MeteoStation3;1;15;17.6;56;1013.0
MeteoStation3;1;16;17.6;56;1011.7
MeteoStation3;1;17;18.1;56;1010.5
MeteoStation3;1;18;17.1;57;1011.2
MeteoStation3;1;19;15.5;60;1009.6
MeteoStation3;1;20;14.7;60;1011.0
MeteoStation3;1;21;12.8;66;1011.1
MeteoStation3;1;22;11.3;68;1011.9
MeteoStation3;1;23;10.1;71;1012.7
MeteoStation4;1;00;9.3;69;1012.9
MeteoStation4;1;01;8.3;68;1013.1
MeteoStation4;1;02;8.4;70;1014.7
MeteoStation4;1;03;7.2;72;1014.4
MeteoStation4;1;04;8.3;64;1016.1
MeteoStation4;1;05;8.3;69;1016.6
MeteoStation4;1;06;8.6;70;1016.4
MeteoStation4;1;07;11.2;63;1015.1
MeteoStation4;1;08;11.6;64;1017.0
MeteoStation4;1;09;13.6;57;1016.4
MeteoStation4;1;10;14.8;53;1015.4
MeteoStation4;1;11;15.7;55;1014.4
MeteoStation4;1;12;16.9;52;1013.6
MeteoStation4;1;13;18.3;47;1013.3
MeteoStation4;1;14;18.5;44;1012.7
MeteoStation4;1;15;19.1;48;1011.5
MeteoStation4;1;16;18.4;51;1010.9
MeteoStation4;1;17;17.8;50;1010.7
MeteoStation4;1;18;17.5;50;1010.7
MeteoStation4;1;19;15.6;52;1010.6
MeteoStation4;1;20;14.4;56;1009.9
MeteoStation4;1;21;12.6;62;1010.3
MeteoStation4;1;22;12.7;64;1011.8
MeteoStation4;1;23;10.9;66;1011.7
MeteoStation5;1;00;9.0;78;1011.3
MeteoStation5;1;01;8.3;78;1011.7
MeteoStation5;1;02;7.9;81;1012.6
MeteoStation5;1;03;7.2;80;1013.4
MeteoStation5;1;04;8.4;82;1014.0
MeteoStation5;1;05;8.8;77;1014.1
MeteoStation5;1;06;8.5;79;1014.9
MeteoStation5;1;07;10.9;76;1014.8
MeteoStation5;1;08;11.0;69;1014.7
MeteoStation5;1;09;12.7;67;1016.1
MeteoStation5;1;10;14.7;64;1016.8
MeteoStation5;1;11;15.6;59;1013.2
MeteoStation5;1;12;17.3;57;1013.4
MeteoStation5;1;13;18.1;53;1013.4
MeteoStation5;1;14;18.6;59;1011.9
MeteoStation5;1;15;18.5;57;1011.0
MeteoStation5;1;16;18.8;57;1011.3
MeteoStation5;1;17;17.6;59;1008.9
MeteoStation5;1;18;17.0;58;1009.5
MeteoStation5;1;19;15.8;65;1009.8
MeteoStation5;1;20;14.6;65;1008.2
MeteoStation5;1;21;13.3;67;1010.5
MeteoStation5;1;22;12.0;69;1009.3
MeteoStation5;1;23;10.4;74;1011.9

# ===== DAY 2 =====

MeteoStation1;2;00;6.6;83;1014.4
MeteoStation1;2;01;6.0;86;1014.3
MeteoStation1;2;02;5.2;84;1015.3
MeteoStation1;2;03;5.0;91;1015.9
MeteoStation1;2;04;5.3;89;1015.9
MeteoStation1;2;05;6.7;88;1018.9
MeteoStation1;2;06;7.3;84;1017.4
MeteoStation1;2;07;8.6;78;1018.0
MeteoStation1;2;08;9.9;79;1017.2
MeteoStation1;2;09;11.0;71;1017.5
MeteoStation1;2;10;12.3;70;1017.2
MeteoStation1;2;11;13.7;70;1015.2
MeteoStation1;2;12;15.0;67;1016.7
MeteoStation1;2;13;14.6;64;1013.8
MeteoStation1;2;14;15.8;58;1013.6
MeteoStation1;2;15;16.5;63;1014.0
MeteoStation1;2;16;16.1;68;1013.0
MeteoStation1;2;17;15.7;65;1011.8
MeteoStation1;2;18;14.2;64;1012.7
MeteoStation1;2;19;13.5;69;1011.8
MeteoStation1;2;20;11.8;74;1013.0
MeteoStation1;2;21;10.9;79;1012.9
MeteoStation1;2;22;9.8;78;1013.0
MeteoStation1;2;23;8.1;83;1013.5
MeteoStation2;2;00;7.7;83;1014.6
MeteoStation2;2;01;7.2;84;1014.7
MeteoStation2;2;02;6.8;85;1016.0
MeteoStation2;2;03;6.7;91;1017.3
MeteoStation2;2;04;7.0;83;1018.1
MeteoStation2;2;05;7.4;86;1018.1
MeteoStation2;2;06;8.0;87;1017.5
MeteoStation2;2;07;9.2;77;1018.4
MeteoStation2;2;08;10.9;72;1017.7
MeteoStation2;2;09;11.5;77;1018.3
MeteoStation2;2;10;13.4;69;1017.3
MeteoStation2;2;11;14.2;69;1016.5
MeteoStation2;2;12;16.1;62;1016.2
MeteoStation2;2;13;16.5;65;1013.9
MeteoStation2;2;14;17.7;64;1014.5
MeteoStation2;2;15;18.1;62;1013.8
MeteoStation2;2;16;18.1;64;1014.5
MeteoStation2;2;17;16.3;59;1012.1
MeteoStation2;2;18;16.2;64;1012.5
MeteoStation2;2;19;14.4;70;1012.4
MeteoStation2;2;20;12.8;69;1011.6
MeteoStation2;2;21;12.0;70;1012.2
MeteoStation2;2;22;11.0;78;1013.3
MeteoStation2;2;23;9.4;78;1013.4
MeteoStation3;2;00;7.7;77;1014.0
MeteoStation3;2;01;7.3;84;1016.5
MeteoStation3;2;02;5.0;83;1016.3
MeteoStation3;2;03;5.5;82;1017.7
MeteoStation3;2;04;6.6;83;1017.5
MeteoStation3;2;05;6.5;84;1018.8
