#station;day;hour;pm25;pm10;o3

# ===== DAY 1 =====

PollutionStation1;1;00;7;18;23
PollutionStation1;1;01;7;19;27
PollutionStation1;1;02;4;10;28
PollutionStation1;1;03;12;23;22
PollutionStation1;1;04;11;26;24
PollutionStation1;1;05;13;33;25
PollutionStation1;1;06;15;38;30
PollutionStation1;1;07;18;43;29
PollutionStation1;1;08;17;43;39
PollutionStation1;1;09;17;46;55
PollutionStation1;1;10;14;34;58
PollutionStation1;1;11;11;25;76
PollutionStation1;1;12;11;25;91
PollutionStation1;1;13;7;24;97
PollutionStation1;1;14;8;22;94
PollutionStation1;1;15;12;26;93
PollutionStation1;1;16;11;30;91
PollutionStation1;1;17;14;32;77
PollutionStation1;1;18;13;33;61
PollutionStation1;1;19;18;48;47
PollutionStation1;1;20;15;37;39
PollutionStation1;1;21;14;34;32
PollutionStation1;1;22;13;34;31
PollutionStation1;1;23;11;30;27
PollutionStation2;1;00;10;19;28
PollutionStation2;1;01;13;26;27
PollutionStation2;1;02;9;17;31
PollutionStation2;1;03;11;24;29
PollutionStation2;1;04;13;31;29
PollutionStation2;1;05;17;43;32
PollutionStation2;1;06;20;43;34
PollutionStation2;1;07;24;54;40
PollutionStation2;1;08;26;58;46
PollutionStation2;1;09;24;52;58
PollutionStation2;1;10;20;45;68
PollutionStation2;1;11;17;38;95
PollutionStation2;1;12;12;32;101
PollutionStation2;1;13;11;28;114
PollutionStation2;1;14;13;28;119
PollutionStation2;1;15;12;28;122
PollutionStation2;1;16;17;33;110
PollutionStation2;1;17;21;45;91
PollutionStation2;1;18;24;53;76
PollutionStation2;1;19;26;54;56
PollutionStation2;1;20;22;50;44
PollutionStation2;1;21;23;49;39
PollutionStation2;1;22;18;37;33
PollutionStation2;1;23;15;33;25
PollutionStation3;1;00;11;22;26
PollutionStation3;1;01;9;18;28
PollutionStation3;1;02;8;17;24
PollutionStation3;1;03;8;24;27
PollutionStation3;1;04;12;31;23
PollutionStation3;1;05;18;42;29
PollutionStation3;1;06;24;50;28
PollutionStation3;1;07;25;52;35
PollutionStation3;1;08;26;56;40
PollutionStation3;1;09;26;55;41
PollutionStation3;1;10;23;49;60
PollutionStation3;1;11;15;34;70
PollutionStation3;1;12;12;26;78
PollutionStation3;1;13;12;28;90
PollutionStation3;1;14;15;30;93
PollutionStation3;1;15;14;30;94
PollutionStation3;1;16;16;38;81
PollutionStation3;1;17;21;49;74
PollutionStation3;1;18;24;52;55
PollutionStation3;1;19;27;59;53
PollutionStation3;1;20;23;50;35
PollutionStation3;1;21;20;49;29
PollutionStation3;1;22;17;39;25
PollutionStation3;1;23;14;32;21
PollutionStation4;1;00;10;22;26
PollutionStation4;1;01;10;23;23
PollutionStation4;1;02;13;29;31
PollutionStation4;1;03;12;27;28
PollutionStation4;1;04;15;32;30
PollutionStation4;1;05;15;33;23
PollutionStation4;1;06;20;37;37
PollutionStation4;1;07;22;48;35
