#station;day;hour;pm25;pm10;o3

# ===== DAY 1 =====

PollutionStation1;1;00;10;22;28
PollutionStation1;1;01;7;16;27
PollutionStation1;1;02;12;21;26
PollutionStation1;1;03;13;31;25
PollutionStation1;1;04;8;23;26
PollutionStation1;1;05;16;39;25
PollutionStation1;1;06;18;41;25
PollutionStation1;1;07;18;42;24
PollutionStation1;1;08;20;45;39
PollutionStation1;1;09;21;44;43
PollutionStation1;1;10;20;48;62
PollutionStation1;1;11;17;36;70
PollutionStation1;1;12;11;27;85
PollutionStation1;1;13;9;28;91
PollutionStation1;1;14;11;22;97
PollutionStation1;1;15;12;30;88
PollutionStation1;1;16;14;33;81
PollutionStation1;1;17;14;34;75
PollutionStation1;1;18;21;48;58
PollutionStation1;1;19;21;46;45
PollutionStation1;1;20;17;36;36
PollutionStation1;1;21;18;39;31
PollutionStation1;1;22;16;42;34
PollutionStation1;1;23;11;30;29
PollutionStation2;1;00;7;17;25
PollutionStation2;1;01;11;29;24
PollutionStation2;1;02;9;19;24
PollutionStation2;1;03;10;20;20
PollutionStation2;1;04;13;32;30
PollutionStation2;1;05;15;34;32
PollutionStation2;1;06;17;39;33
PollutionStation2;1;07;23;49;33
PollutionStation2;1;08;21;51;37
PollutionStation2;1;09;22;50;47
PollutionStation2;1;10;18;42;59
PollutionStation2;1;11;13;34;74
PollutionStation2;1;12;9;23;89
PollutionStation2;1;13;11;29;95
PollutionStation2;1;14;10;25;105
PollutionStation2;1;15;15;34;98
PollutionStation2;1;16;15;36;85
PollutionStation2;1;17;15;38;76
PollutionStation2;1;18;21;47;57
PollutionStation2;1;19;22;51;50
PollutionStation2;1;20;21;46;40
PollutionStation2;1;21;14;36;35
PollutionStation2;1;22;14;29;27
PollutionStation2;1;23;11;29;20
PollutionStation3;1;00;8;22;21
PollutionStation3;1;01;7;19;23
PollutionStation3;1;02;13;28;23
PollutionStation3;1;03;12;25;31
PollutionStation3;1;04;12;29;28
PollutionStation3;1;05;17;35;28
PollutionStation3;1;06;20;41;32
PollutionStation3;1;07;24;51;37
PollutionStation3;1;08;23;56;38
PollutionStation3;1;09;24;54;51
PollutionStation3;1;10;20;48;65
PollutionStation3;1;11;16;36;79
PollutionStation3;1;12;11;26;98
PollutionStation3;1;13;12;25;104
PollutionStation3;1;14;10;24;114
PollutionStation3;1;15;13;34;101
PollutionStation3;1;16;19;39;87
PollutionStation3;1;17;16;39;76
PollutionStation3;1;18;21;45;64
PollutionStation3;1;19;23;53;49
PollutionStation3;1;20;24;51;36
PollutionStation3;1;21;21;47;26
PollutionStation3;1;22;17;39;28
PollutionStation3;1;23;12;28;29
PollutionStation4;1;00;9;25;24
PollutionStation4;1;01;12;23;22
PollutionStation4;1;02;8;18;29
PollutionStation4;1;03;14;28;27
PollutionStation4;1;04;14;30;20
PollutionStation4;1;05;18;40;28
PollutionStation4;1;06;23;47;24
PollutionStation4;1;07;25;52;27
PollutionStation4;1;08;30;60;31
PollutionStation4;1;09;25;52;44
PollutionStation4;1;10;24;47;56
PollutionStation4;1;11;16;34;73
PollutionStation4;1;12;12;25;80
PollutionStation4;1;13;12;25;93
PollutionStation4;1;14;12;27;94
PollutionStation4;1;15;14;29;92
PollutionStation4;1;16;19;44;86
PollutionStation4;1;17;23;49;73
PollutionStation4;1;18;25;52;56
PollutionStation4;1;19;23;52;47
PollutionStation4;1;20;24;47;30
PollutionStation4;1;21;22;50;28
PollutionStation4;1;22;17;35;27
PollutionStation4;1;23;16;34;31
PollutionStation5;1;00;13;30;24
PollutionStation5;1;01;13;29;26
PollutionStation5;1;02;11;27;26
PollutionStation5;1;03;10;21;20
PollutionStation5;1;04;13;24;26
PollutionStation5;1;05;17;38;23
PollutionStation5;1;06;22;48;27
PollutionStation5;1;07;24;55;28
PollutionStation5;1;08;24;57;37
PollutionStation5;1;09;26;53;47
