#station;day;hour;temp;hum;press

# ===== DAY 1 =====

MeteoStation1;1;00;6.8;74;1012.4
MeteoStation1;1;01;5.9;75;1011.6
MeteoStation1;1;02;6.2;72;1015.5
MeteoStation1;1;03;5.0;71;1014.8
MeteoStation1;1;04;5.8;78;1015.6
MeteoStation1;1;05;6.3;73;1016.9
MeteoStation1;1;06;6.7;76;1017.5
MeteoStation1;1;07;-2.3;83;1022.1
MeteoStation1;1;08;-3.5;82;1020.3
MeteoStation1;1;09;-2.4;75;1019.2
MeteoStation1;1;10;12.4;67;1015.9
MeteoStation1;1;11;14.2;57;1015.1
MeteoStation1;1;12;14.7;55;1014.1
MeteoStation1;1;13;15.6;57;1013.3
MeteoStation1;1;14;16.1;53;1011.7
MeteoStation1;1;15;15.9;51;1011.9
MeteoStation1;1;16;15.2;56;1010.9
MeteoStation1;1;17;16.0;54;1011.1
MeteoStation1;1;18;14.8;56;1010.1
MeteoStation1;1;19;13.4;60;1011.6
MeteoStation1;1;20;12.4;63;1010.2
MeteoStation1;1;21;-1.8;81;1016.6
MeteoStation1;1;22;-2.4;85;1016.9
MeteoStation1;1;23;-2.5;86;1020.5
MeteoStation2;1;00;7.0;73;1009.9
MeteoStation2;1;01;7.5;74;1011.8
MeteoStation2;1;02;6.4;75;1012.4
MeteoStation2;1;03;5.6;78;1012.2
MeteoStation2;1;04;6.6;78;1013.5
MeteoStation2;1;05;7.1;71;1012.3
MeteoStation2;1;06;6.6;73;1013.8
MeteoStation2;1;07;-2.4;88;1018.3
MeteoStation2;1;08;-2.5;90;1021.4
MeteoStation2;1;09;-3.1;75;1018.8
MeteoStation2;1;10;13.1;61;1013.3
MeteoStation2;1;11;14.3;54;1012.8
MeteoStation2;1;12;15.1;56;1012.7
MeteoStation2;1;13;16.6;55;1011.4
MeteoStation2;1;14;17.3;53;1008.9
MeteoStation2;1;15;16.7;53;1010.1
MeteoStation2;1;16;17.5;49;1008.5
MeteoStation2;1;17;16.7;53;1008.1
MeteoStation2;1;18;15.3;53;1008.9
MeteoStation2;1;19;14.5;57;1007.7
MeteoStation2;1;20;13.6;61;1008.7
MeteoStation2;1;21;-1.8;85;1018.4
MeteoStation2;1;22;-2.0;82;1016.0
MeteoStation2;1;23;-1.4;87;1016.0
MeteoStation3;1;00;7.3;72;1012.5
MeteoStation3;1;01;6.1;73;1013.1
MeteoStation3;1;02;5.2;74;1013.1
MeteoStation3;1;03;5.6;79;1013.0
MeteoStation3;1;04;5.3;78;1013.0
MeteoStation3;1;05;6.3;75;1015.4
MeteoStation3;1;06;6.9;70;1015.6
MeteoStation3;1;07;-2.6;81;1021.2
MeteoStation3;1;08;-2.7;77;1020.1
MeteoStation3;1;09;-2.3;76;1019.5
MeteoStation3;1;10;12.6;63;1014.5
MeteoStation3;1;11;14.0;59;1014.0
MeteoStation3;1;12;15.1;61;1013.6
MeteoStation3;1;13;15.7;55;1012.7
MeteoStation3;1;14;16.0;53;1012.4
MeteoStation3;1;15;16.4;55;1009.3
MeteoStation3;1;16;15.9;52;1010.6
MeteoStation3;1;17;15.2;57;1008.8
MeteoStation3;1;18;14.9;59;1009.5
