#station;day;hour;pm25;pm10;o3

# ===== DAY 1 =====

PollutionStation1;1;00;10;23;22
PollutionStation1;1;01;10;23;21
PollutionStation1;1;02;9;23;23
PollutionStation1;1;03;11;26;32
PollutionStation1;1;04;12;27;26
PollutionStation1;1;05;15;34;26
PollutionStation1;1;06;19;44;22
PollutionStation1;1;07;22;51;35
PollutionStation1;1;08;29;61;35
PollutionStation1;1;09;21;50;43
PollutionStation1;1;10;17;40;57
PollutionStation1;1;11;15;32;73
PollutionStation1;1;12;11;28;96
PollutionStation1;1;13;13;27;99
PollutionStation1;1;14;10;24;99
PollutionStation1;1;15;13;27;103
PollutionStation1;1;16;18;39;90
PollutionStation1;1;17;21;43;75
PollutionStation1;1;18;22;46;60
PollutionStation1;1;19;23;49;46
PollutionStation1;1;20;20;47;33
PollutionStation1;1;21;20;45;26
PollutionStation1;1;22;18;37;22
PollutionStation1;1;23;16;35;24
PollutionStation2;1;00;11;20;19
PollutionStation2;1;01;12;26;18
PollutionStation2;1;02;12;26;20
PollutionStation2;1;03;15;32;18
PollutionStation2;1;04;13;32;25
PollutionStation2;1;05;16;36;17
PollutionStation2;1;06;24;48;24
PollutionStation2;1;07;24;52;35
PollutionStation2;1;08;25;55;40
PollutionStation2;1;09;25;54;45
PollutionStation2;1;10;22;47;53
PollutionStation2;1;11;17;37;68
PollutionStation2;1;12;16;36;83
PollutionStation2;1;13;12;22;84
PollutionStation2;1;14;14;36;88
PollutionStation2;1;15;14;30;90
PollutionStation2;1;16;18;41;78
PollutionStation2;1;17;20;49;68
PollutionStation2;1;18;25;55;51
PollutionStation2;1;19;27;55;44
PollutionStation2;1;20;25;56;30
PollutionStation2;1;21;22;45;28
PollutionStation2;1;22;18;38;18
PollutionStation2;1;23;13;30;28
PollutionStation3;1;00;8;20;20
PollutionStation3;1;01;10;25;24
PollutionStation3;1;02;9;22;29
PollutionStation3;1;03;12;24;23
PollutionStation3;1;04;10;25;26
PollutionStation3;1;05;17;38;25
PollutionStation3;1;06;20;46;34
PollutionStation3;1;07;24;53;35
PollutionStation3;1;08;24;53;41
PollutionStation3;1;09;26;56;50
PollutionStation3;1;10;18;42;69
PollutionStation3;1;11;15;34;79
PollutionStation3;1;12;16;33;102
PollutionStation3;1;13;10;27;114
PollutionStation3;1;14;9;29;115
PollutionStation3;1;15;15;34;105
PollutionStation3;1;16;17;38;102
PollutionStation3;1;17;21;45;83
PollutionStation3;1;18;21;48;68
PollutionStation3;1;19;25;53;59
PollutionStation3;1;20;19;49;44
PollutionStation3;1;21;21;44;33
PollutionStation3;1;22;15;30;28
PollutionStation3;1;23;13;29;25
PollutionStation4;1;00;9;19;14
PollutionStation4;1;01;8;17;22
PollutionStation4;1;02;8;18;24
PollutionStation4;1;03;8;21;26
PollutionStation4;1;04;11;30;25
PollutionStation4;1;05;14;35;27
PollutionStation4;1;06;18;39;31
PollutionStation4;1;07;20;44;31
PollutionStation4;1;08;23;49;47
PollutionStation4;1;09;21;49;44
PollutionStation4;1;10;20;44;64
PollutionStation4;1;11;11;28;70
PollutionStation4;1;12;14;27;86
PollutionStation4;1;13;10;25;101
PollutionStation4;1;14;11;25;104
PollutionStation4;1;15;11;30;97
PollutionStation4;1;16;16;37;87
PollutionStation4;1;17;18;41;73
PollutionStation4;1;18;19;44;58
PollutionStation4;1;19;22;47;47
PollutionStation4;1;20;19;44;46
PollutionStation4;1;21;18;38;31
PollutionStation4;1;22;14;35;28
PollutionStation4;1;23;13;28;29
PollutionStation5;1;00;10;24;23
PollutionStation5;1;01;12;29;19
PollutionStation5;1;02;10;22;26
PollutionStation5;1;03;10;24;20
