#station;day;hour;temp;hum;press

# ===== DAY 1 =====

MeteoStation1;1;00;6.9;74;1011.6
MeteoStation1;1;01;6.2;74;1012.7
MeteoStation1;1;02;6.1;70;1013.3
MeteoStation1;1;03;5.3;72;1014.1
MeteoStation1;1;04;5.3;76;1015.1
MeteoStation1;1;05;5.5;76;1015.2
MeteoStation1;1;06;7.0;75;1015.8
MeteoStation1;1;07;7.6;71;1015.6
MeteoStation1;1;08;9.5;65;1015.5
MeteoStation1;1;09;10.8;64;1014.7
MeteoStation1;1;10;12.4;62;1015.1
MeteoStation1;1;11;13.7;56;1015.1
MeteoStation1;1;12;14.0;52;1014.4
MeteoStation1;1;13;15.3;54;1012.2
MeteoStation1;1;14;16.8;57;1011.1
MeteoStation1;1;15;15.8;53;1010.9
MeteoStation1;1;16;16.1;50;1010.5
MeteoStation1;1;17;15.7;53;1010.7
MeteoStation1;1;18;14.3;57;1009.9
MeteoStation1;1;19;12.4;54;1010.2
MeteoStation1;1;20;12.0;64;1009.7
MeteoStation1;1;21;10.8;60;1009.8
MeteoStation1;1;22;9.4;71;1010.4
MeteoStation1;1;23;8.2;71;1011.5
MeteoStation2;1;00;6.4;76;1012.1
MeteoStation2;1;01;5.4;73;1013.1
MeteoStation2;1;02;5.3;79;1013.9
MeteoStation2;1;03;4.5;80;1014.0
MeteoStation2;1;04;4.3;75;1015.8
MeteoStation2;1;05;6.5;71;1015.3
MeteoStation2;1;06;6.1;70;1015.8
MeteoStation2;1;07;7.0;69;1014.6
MeteoStation2;1;08;8.9;72;1016.0
MeteoStation2;1;09;10.3;65;1017.3
MeteoStation2;1;10;11.9;62;1015.3
MeteoStation2;1;11;13.1;60;1015.1
MeteoStation2;1;12;13.3;57;1013.7
MeteoStation2;1;13;14.7;56;1013.4
MeteoStation2;1;14;15.7;56;1012.6
MeteoStation2;1;15;15.5;55;1012.1
MeteoStation2;1;16;15.9;56;1012.0
MeteoStation2;1;17;14.6;51;1009.8
MeteoStation2;1;18;14.3;54;1011.0
MeteoStation2;1;19;13.5;61;1010.7
MeteoStation2;1;20;11.3;64;1011.5
MeteoStation2;1;21;9.1;65;1010.8
MeteoStation2;1;22;8.5;69;1011.0
MeteoStation2;1;23;7.2;69;1011.4
MeteoStation3;1;00;6.1;72;1011.0
MeteoStation3;1;01;6.1;75;1012.6
MeteoStation3;1;02;5.8;78;1014.5
MeteoStation3;1;03;5.4;79;1013.8
MeteoStation3;1;04;5.0;78;1015.7
MeteoStation3;1;05;6.2;74;1016.3
MeteoStation3;1;06;7.3;74;1016.2
MeteoStation3;1;07;8.2;71;1015.6
MeteoStation3;1;08;9.3;72;1014.6
MeteoStation3;1;09;10.3;61;1015.3
MeteoStation3;1;10;12.2;57;1014.8
MeteoStation3;1;11;13.6;58;1014.5
MeteoStation3;1;12;15.0;59;1013.8
MeteoStation3;1;13;16.1;51;1014.1
MeteoStation3;1;14;15.5;50;1011.3
MeteoStation3;1;15;16.5;51;1011.3
MeteoStation3;1;16;16.5;47;1010.3
MeteoStation3;1;17;16.0;53;1009.3
MeteoStation3;1;18;14.8;55;1011.3
MeteoStation3;1;19;13.9;57;1009.2
MeteoStation3;1;20;12.2;60;1010.1
MeteoStation3;1;21;11.1;65;1010.4
MeteoStation3;1;22;9.1;65;1011.2
MeteoStation3;1;23;7.8;68;1011.2

# ===== DAY 2 =====

MeteoStation1;2;00;4.2;80;1013.6
MeteoStation1;2;01;4.7;81;1013.6
MeteoStation1;2;02;2.7;83;1015.5
MeteoStation1;2;03;3.6;80;1017.4
MeteoStation1;2;04;3.8;82;1017.3
MeteoStation1;2;05;3.9;81;1017.7
MeteoStation1;2;06;5.0;73;1018.4
MeteoStation1;2;07;6.3;74;1019.0
MeteoStation1;2;08;7.8;74;1018.3
MeteoStation1;2;09;9.1;68;1016.9
MeteoStation1;2;10;10.0;65;1017.6
MeteoStation1;2;11;11.3;65;1016.2
MeteoStation1;2;12;12.6;65;1015.4
MeteoStation1;2;13;13.4;60;1014.5
MeteoStation1;2;14;13.6;57;1013.9
MeteoStation1;2;15;14.6;60;1014.6
MeteoStation1;2;16;14.0;56;1013.2
MeteoStation1;2;17;13.1;62;1011.4
MeteoStation1;2;18;12.3;63;1011.3
MeteoStation1;2;19;12.1;63;1011.0
MeteoStation1;2;20;10.3;65;1010.9
MeteoStation1;2;21;9.5;74;1011.3
MeteoStation1;2;22;7.2;73;1013.3
MeteoStation1;2;23;6.4;75;1013.0
MeteoStation2;2;00;4.9;80;1015.7
MeteoStation2;2;01;3.4;84;1015.7
MeteoStation2;2;02;2.9;84;1015.8
MeteoStation2;2;03;2.4;82;1016.8
MeteoStation2;2;04;2.2;86;1017.3
MeteoStation2;2;05;3.8;81;1017.1
MeteoStation2;2;06;3.8;82;1018.3
MeteoStation2;2;07;6.0;75;1017.5
MeteoStation2;2;08;6.3;75;1017.3
MeteoStation2;2;09;7.8;66;1017.6
MeteoStation2;2;10;9.4;70;1017.6
MeteoStation2;2;11;10.6;67;1018.2
MeteoStation2;2;12;12.2;58;1015.7
MeteoStation2;2;13;12.9;58;1013.9
MeteoStation2;2;14;13.7;55;1013.6
MeteoStation2;2;15;13.5;57;1014.3
MeteoStation2;2;16;13.9;60;1012.8
MeteoStation2;2;17;13.3;62;1012.5
MeteoStation2;2;18;11.7;64;1013.0
MeteoStation2;2;19;10.6;70;1012.5
MeteoStation2;2;20;9.7;62;1012.5
MeteoStation2;2;21;7.8;73;1011.8
MeteoStation2;2;22;6.1;76;1014.7
